iter	Accuracy	Logloss
89	0.890394656	0.2492923024
90	0.8905482187	0.2490772903
91	0.8908937346	0.2485605205
92	0.8908937346	0.2484444201
93	0.890855344	0.2481781131
94	0.8910472973	0.2477646073
95	0.8912776413	0.2472451477
96	0.8917383292	0.2467399209
97	0.8918535012	0.2463681108
98	0.8923525799	0.2458336625
99	0.8926597052	0.2456627872
100	0.8931587838	0.244946264
101	0.8935042998	0.2441536851
102	0.8935810811	0.2439845821
103	0.8939265971	0.2435347668
104	0.894617629	0.2430148901
105	0.8949247543	0.242651484
106	0.8957309582	0.2420601236
107	0.8957309582	0.2412857178
108	0.8964987715	0.2406094106
109	0.8968058968	0.240178707
110	0.8970746314	0.2399703078
111	0.8971514128	0.239366604
112	0.8971514128	0.2386978449
113	0.8973817568	0.2381974367
114	0.8979960074	0.2376820469
115	0.8978808354	0.2374823372
116	0.89814957	0.2372884346
117	0.8988022113	0.2367736492
118	0.8999539312	0.2357247548
119	0.8999539312	0.2353768244
120	0.8999539312	0.2350027201
121	0.8999923219	0.234298549
122	0.9001458845	0.2339038789
123	0.9005297912	0.2333961678
124	0.9006065725	0.23290291
125	0.9002610565	0.2325051004
126	0.9014511671	0.2317603264
127	0.9017582924	0.231269759
128	0.9019502457	0.2310393522
129	0.9024493243	0.2303585536
130	0.9024493243	0.2298969403
131	0.9027948403	0.2294282347
132	0.9030635749	0.2292487622
133	0.9032171376	0.2289938314
134	0.9037162162	0.2282340295
135	0.9037929975	0.2279171995
136	0.9044840295	0.2270759163
137	0.9047911548	0.2267915953
138	0.9050598894	0.2260423325
139	0.9051366708	0.2258165237
140	0.9055589681	0.2255689705
141	0.9059812654	0.2250752933
142	0.9061732187	0.2246946636
143	0.9064035627	0.2241761719
144	0.906365172	0.2238948514
145	0.9070562039	0.2234912677
146	0.9069794226	0.2233252004
147	0.9071713759	0.2230869998
148	0.9072865479	0.2229739629
149	0.9072865479	0.2227535341
150	0.9073249386	0.2224816169
151	0.9077088452	0.2222686028
152	0.9076704545	0.2220809675
153	0.9076320639	0.2218225941
154	0.9079775799	0.2211970381
155	0.9080927518	0.2209305265
156	0.9080543612	0.2202444865
157	0.9083230958	0.220094507
158	0.9083230958	0.2198564574
159	0.9085534398	0.2196319915
160	0.9091292998	0.2192606971
161	0.9089373464	0.2190145305
162	0.9090909091	0.2188257961
163	0.9095515971	0.2183535249
164	0.9093212531	0.2180992093
165	0.9094364251	0.2178707423
166	0.9095132064	0.2177306917
167	0.9103194103	0.2169056759
168	0.9106265356	0.2165514095
169	0.910703317	0.2162109591
170	0.9108184889	0.2159769921
171	0.9108952703	0.2156457731
172	0.9112791769	0.2152692149
173	0.9111640049	0.215056377
174	0.9110872236	0.2147492511
175	0.9115095209	0.214456357
176	0.9115479115	0.2140907178
177	0.9118166462	0.2136086177
178	0.9120853808	0.2133996256
179	0.9120853808	0.2131300838
180	0.9125076781	0.2126254593
181	0.9126996314	0.2123823362
182	0.9125844595	0.212148806
183	0.9127764128	0.2118187512
184	0.9134290541	0.2112562079
185	0.913544226	0.2108907166
186	0.9138513514	0.2103892758
187	0.9141968673	0.2098460111
188	0.91435043	0.2095394699
189	0.9145039926	0.2093748034
190	0.9143120393	0.2090133557
191	0.9146959459	0.2086743535
192	0.9146959459	0.2085093034
193	0.9149262899	0.2082475629
194	0.9150798526	0.2080340561
195	0.9150798526	0.2077677434
196	0.9153101966	0.2076297872
197	0.9153869779	0.2073623087
198	0.9154253686	0.2072070021
199	0.9157708845	0.2066584983
200	0.9159244472	0.2064189049
201	0.9159628378	0.2063519688
202	0.9161931818	0.2061160662
203	0.9163467445	0.205716286
204	0.9169609951	0.205220168
205	0.9171529484	0.2050691778
206	0.9173832924	0.204926501
207	0.9174984644	0.2046352715
208	0.9177288084	0.2042954446
209	0.917767199	0.2041503316
210	0.9180359337	0.2038298826
211	0.9186501843	0.2033406591
212	0.9184966216	0.203277624
213	0.9184198403	0.20319995
214	0.9185350123	0.2028676359
215	0.9190724816	0.2024467708
216	0.9192260442	0.202297256
217	0.9193412162	0.2017505238
218	0.9193412162	0.2016453097
219	0.9194947789	0.2013951973
220	0.9195331695	0.2008542455
